tour_id,senti,senti_count,senti_sum,senti_avg
1,"[['대가', 1], ['소음', -1], ['화', -2]]",3,-2,-0.6666666666666666
3,"[['최고', 2], ['욕', -2]]",2,0,0.0
4,"[['친절', 2]]",1,2,2.0
5,"[['고급', 2], ['최고', 2], ['정', 1], ['일진', -1], ['무서움', -2], ['불만', -2], ['불편', -2], ['최악', -2], ['해', -2]]",9,-6,-0.6666666666666666
6,"[['예의', 1], ['비추', -2]]",2,-1,-0.5
11,"[['최고', 2], ['친절', 2], ['한숨', -1], ['짜증', -2]]",4,1,0.25
13,"[['최고', 2], ['친절', 2], ['윤기', 1], ['ㅉ', -1]]",4,4,1.0
19,"[['맛', 2], ['친절', 2], ['기대', 1], ['대접', 1], ['여유', 1], ['ㅜ', -1], ['후회', -2]]",7,4,0.5714285714285714
22,"[['맛', 2], ['최고', 2]]",2,4,2.0
25,"[['고급', 2], ['만족', 2], ['보람', 1], ['후회', -2]]",4,3,0.75
26,"[['강추', 2]]",1,2,2.0
27,"[['최고', 2]]",1,2,2.0
31,"[['최고', 2]]",1,2,2.0
33,"[['최고', 2], ['친절', 2], ['ㅆ', 1], ['기대', 1], ['여유', 1], ['정', 1], ['할인', 1], ['휴식', 1], ['부족', -1], ['불성실', -1], ['신경질', -1], ['찌꺼기', -1], ['짜증', -2], ['최악', -2]]",14,2,0.14285714285714285
35,"[['개선', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['가치', 1], ['기대', 1], ['여유', 1], ['인기', 1], ['인정', 1], ['겁', -1], ['짐', -1], ['마이너스', -2], ['불만', -2], ['최악', -2]]",14,5,0.35714285714285715
36,"[['멋', 2], ['최고', 2]]",2,4,2.0
37,"[['고급', 2], ['최고', 2], ['친절', 2]]",3,6,2.0
38,"[['창피', -2]]",1,-2,-2.0
40,"[['맛', 2], ['최고', 2], ['편안', 2], ['개성', 1], ['기대', 1], ['정', 1], ['필수', 1], ['못', 0], ['ㅜ', -1], ['ㅠ', -1], ['고작', -1], ['미안', -1], ['빚', -2], ['손해', -2], ['실망', -2], ['해', -2], ['협박', -2]]",17,-4,-0.23529411764705882
41,"[['최고', 2]]",1,2,2.0
43,"[['만족', 2], ['맛', 2], ['최고', 2], ['기대', 1], ['정', 1], ['친구', 1], ['부족', -1], ['화가', -2]]",8,6,0.75
46,"[['최고', 2]]",1,2,2.0
52,"[['최고', 2], ['친절', 2]]",2,4,2.0
57,"[['최고', 2]]",1,2,2.0
58,"[['최고', 2], ['피', 0]]",2,2,1.0
61,"[['최고', 2]]",1,2,2.0
62,"[['최고', 2]]",1,2,2.0
65,"[['최고', 2], ['죽음', -1]]",2,1,0.5
72,"[['득', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['부자', 1], ['세일', 1], ['짐', -1], ['최악', -2]]",9,8,0.8888888888888888
74,"[['최고', 2]]",1,2,2.0
75,"[['강추', 2], ['정', 1], ['품격', 1]]",3,4,1.3333333333333333
77,"[['최고', 2]]",1,2,2.0
81,"[['친절', 2]]",1,2,2.0
82,"[['불편', -2]]",1,-2,-2.0
86,"[['불편', -2]]",1,-2,-2.0
93,"[['최고', 2]]",1,2,2.0
95,"[['장점', 2], ['짐', -1]]",2,1,0.5
96,"[['최고', 2]]",1,2,2.0
97,"[['감사', 2], ['멋', 2], ['사랑', 2], ['아름다움', 2], ['조화', 2], ['최고', 2], ['부자', 1], ['여유', 1], ['정', 1], ['노름', -1], ['살인', -1], ['아쉬움', -1], ['불만', -2], ['장애인', -2], ['지옥', -2], ['환상', -2]]",16,4,0.25
98,"[['감사', 2], ['멋', 2], ['사랑', 2], ['아름다움', 2], ['조화', 2], ['최고', 2], ['부자', 1], ['여유', 1], ['정', 1], ['노름', -1], ['살인', -1], ['아쉬움', -1], ['불만', -2], ['장애인', -2], ['지옥', -2], ['환상', -2]]",16,4,0.25
105,"[['최고', 2]]",1,2,2.0
106,"[['멋', 2], ['재미', 2], ['최고', 2]]",3,6,2.0
109,"[['최고', 2]]",1,2,2.0
110,"[['최고', 2]]",1,2,2.0
118,"[['비추', -2]]",1,-2,-2.0
120,"[['최고', 2], ['할인', 1], ['ㅠ', -1], ['낭비', -1], ['실망', -2]]",5,-1,-0.2
121,"[['감사', 2], ['강추', 2], ['고급', 2], ['만족', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['유명', 1], ['윤기', 1], ['정', 1], ['친구', 1], ['부족', -1], ['실망', -2], ['해', -2], ['후회', -2]]",16,12,0.75
122,"[['최고', 2]]",1,2,2.0
124,"[['감사', 2], ['강추', 2], ['만족', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['편리', 2], ['가치', 1], ['친구', 1], ['짐', -1], ['아픔', -2], ['짜증', -2]]",12,11,0.9166666666666666
125,"[['멋', 2], ['친절', 2], ['ㅠ', -1], ['한숨', -1], ['불만족', -2], ['최악', -2]]",6,-2,-0.3333333333333333
126,"[['최고', 2], ['친절', 2]]",2,4,2.0
129,"[['맛', 2], ['최고', 2], ['친절', 2], ['대접', 1], ['여유', 1], ['필수', 1], ['부족', -1]]",7,8,1.1428571428571428
134,"[['만족', 2], ['최고', 2], ['친절', 2], ['정', 1], ['친구', 1], ['부족', -1], ['실수', -1], ['부담', -2], ['화', -2]]",9,2,0.2222222222222222
135,"[['최고', 2]]",1,2,2.0
136,"[['맛', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['욕', -2], ['최악', -2]]",6,3,0.5
137,"[['강추', 2], ['맛', 2], ['최고', 2], ['행복', 2], ['가치', 1], ['기대', 1], ['인정', 1], ['ㅠ', -1], ['아쉬움', -1], ['저급', -1], ['걱정', -2], ['마이너스', -2], ['실망', -2], ['어려움', -2], ['질색', -2], ['짜증', -2], ['최악', -2]]",17,-6,-0.35294117647058826
141,"[['친절', 2]]",1,2,2.0
145,"[['만족', 2], ['최고', 2], ['행복', 2], ['낭비', -1], ['탈', -1], ['최악', -2]]",6,2,0.3333333333333333
146,"[['최고', 2]]",1,2,2.0
149,"[['최고', 2], ['고함', -1]]",2,1,0.5
151,"[['ㅉ', -1], ['최악', -2]]",2,-3,-1.5
152,"[['만족', 2], ['맛', 2], ['최고', 2]]",3,6,2.0
153,"[['최고', 2]]",1,2,2.0
154,"[['최고', 2], ['가치', 1], ['짐', -1], ['창', -1], ['욕', -2]]",5,-1,-0.2
155,"[['최고', 2], ['가치', 1], ['짐', -1], ['창', -1], ['욕', -2]]",5,-1,-0.2
158,"[['최고', 2]]",1,2,2.0
160,"[['감탄', 2], ['최고', 2]]",2,4,2.0
161,"[['최고', 2]]",1,2,2.0
164,"[['감동', 2], ['안전', 2], ['최고', 2], ['도움', 1], ['보람', 1], ['정상', 1], ['친구', 1], ['휴식', 1], ['흥미', 1]]",9,12,1.3333333333333333
171,"[['안전', 2], ['최고', 2], ['친절', 2]]",3,6,2.0
173,"[['ㅜ', -1]]",1,-1,-1.0
174,"[['만족', 2], ['맛', 2], ['재미', 2], ['최고', 2], ['친절', 2], ['수선', -1], ['짐', -1], ['부담', -2], ['불만', -2]]",9,4,0.4444444444444444
175,"[['맛', 2], ['멋', 2], ['부지런', 2], ['열광', 2], ['최고', 2], ['친절', 2], ['행복', 2], ['기대', 1], ['연애', 1], ['완성', 1], ['운', 1], ['인정', 1], ['정', 1], ['진리', 1], ['못', 0], ['ㅉ', -1], ['ㅠ', -1], ['마약', -1], ['수선', -1], ['짐', -1], ['충격', -1], ['거짓말', -2], ['망신', -2], ['불편', -2], ['빈대', -2], ['실망', -2], ['욕', -2], ['최악', -2], ['해', -2]]",29,-1,-0.034482758620689655
